If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Introduction · Bitcoin para Programadores,When to make a Git Commit,What's the Best Programming Language to Learn in 2017?,Burger King aceita pedidos via mensagens no Facebook - Startupi,Mastering Bash and Terminal,Live asynchronously.
Bose's New Speaker Only Costs $150 But You Have to Build It Yourself,11 Internet of Things (IoT) Protocols You Need to Know About,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,"Amazon open-sources its own deep learning software, DSSTNE",Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Criando ícones animados no Android,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise","Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways"
Meet Aquifer: A build system for easier Drupal development,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Dries Buytaert,14 Cool Drupal 8 modules for site builders | August 2016,Acquia Engage Awards Finalists Announced
Cubr,"How to build a robot that ""sees"" with $100 and TensorFlow",Standing on the Shoulders of Giants - Built to Adapt,"Autofill: What web devs should know, but don't",The technology behind preview photos,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy"
Google may be considering Swift for use on Android,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Alecrim/AlecrimCoreData,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Progressive Web App - first introduced on Google I/O | airberlin
"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Nova campanha da Avon tem drag queen como estrela,"No dia das mães, Avon lança campanha com mãe de jovem gay",Netflix emociona com vídeo destacando personagens LGBT
"No dia das mães, Avon lança campanha com mãe de jovem gay",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,O homofóbico dentro de cada um
containerd - a core container runtime project for the industry - Docker Blog,The Ten Commandments of Egoless Programming,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure",The Ultimate Solution to Versioning REST APIs: Content Negotiation,"The Languages, Frameworks and Tools You Should Learn in 2017",Introducing Kotlin support in Spring Framework 5.0
Bot Engine,A New Number Format for Computers Could Nuke Approximation Errors for Good,Exploring Java's Hidden Costs,Facebook's WhatsApp does something very different than Google,Accidental discovery could help batteries last years longer,Design Patterns: Progressive Disclosure for Mobile Apps
The economic essentials of digital strategy,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Meet the new Brazilian consumer,Mobile Time,How to Create an Exponential Mindset,Accenture amplia atuação no Brasil
The new tech talent you need to succeed in digital,Assessing Salesforce's platform and ecosystem | ZDNet,Meet the new Brazilian consumer,How to Create an Exponential Mindset,Meio&Mensagem,The economic essentials of digital strategy
Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,Confirmed: Walmart buys Jet.com for $3B in cash,What's the Best Programming Language to Learn in 2017?,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Uma arquitetura de referência para a Internet das Coisas - Parte 1
"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",The Future of Business is Design,O tênue equilíbrio da equipe que desenha produtos digitais,Meet the new Brazilian consumer,Accenture amplia atuação no Brasil,The economic essentials of digital strategy
"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Five questions boards should ask about IT in a digital world,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo
Shopping em BH terá fazenda urbana de 2.700 m²,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,How to finish 3D printed PLA objects,Peças Translúcidas,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI
Introducing Kotlin support in Spring Framework 5.0,Spring Boot 1.5.1 released,The Ultimate Solution to Versioning REST APIs: Content Negotiation,The Java 8 API Design Principles,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog","Espresso Intents: não é magia, é tecnologia! - Android Dev BR"
[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,Design Sprint: onde o design e a velocidade importam,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",Cinco competências comportamentais para você ser um bom líder
Why image recognition is about to transform business,Is FinTech Forcing Banking to a Tipping Point?,Why the customer experience matters,Goodbye accountants! Startup builds AI to automate all your accounting,The return of the machinery question,This startup uses machine learning and satellite imagery to predict crop yields
Post: Just Say mNo to Hungarian Notation,Dark Scrum,Alecrim/AlecrimCoreData,bliki: StranglerApplication,"Autofill: What web devs should know, but don't",Quick Tip: Working with the JavaScript Battery API
The Internet of Things is looking for its VisiCalc,Blaise Agüera y Arcas: How computers are learning to be creative,Cubr,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,This Super Accurate Portrait Selection Tech Uses Neural Networks,Ultimate AI battle - Apple vs. Google
Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",O dia em que tive mais medo de estar errada.,#Sentaquelávemtextão,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,A importância dos filmes de mulherzinha - Capitolina
Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Cia. Hering sincroniza diferentes marcas em um único portal de compras
"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Ouça a música criada pela inteligência artificial do Google | Google Discovery,15 Awesome Sublime Text Plugins For Web Development,Google Cloud Platform sets a course for new horizons,"Hello, a nova rede social do Orkut, está liberada no Brasil"
JavaScript Conquered the Web. Now It's Taking Over the Desktop,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,What Color is Your Function?,Sam Newman - Backends For Frontends,Serverless real-time architecture on AWS: there is a way !,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade
Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Google's Cloud Machine Learning service is now in public beta,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",Wide & Deep Learning: Better Together with TensorFlow
The rise of APIs,Mobile marketing statistics 2016,A digital crack in banking's business model,"No Brasil, '25% dos celulares ainda são 'Burrofones'",Accidental discovery could help batteries last years longer,The End Of Apps As We Know Them - Inside Intercom
Google Cloud Platform sets a course for new horizons,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Google is quietly recording everything you say. Here's how to hear it
You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Building Flipkart Lite: A Progressive Web App,gotwarlost/istanbul,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Google Cloud Platform's preemptible VMs are now up to 33% cheaper
The Difference Between Sympathy And Empathy - Expanded Consciousness,Big IT Rising,Will blockchain drive the fourth Industrial Revolution?,"Hello, TensorFlow!",The return of the machinery question,Why image recognition is about to transform business
Embracing Agile,You won't recognize the new world of digital payments without this report,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",An operating model for company-wide agile development,Two Different Sales Motions . . . .,The sales secrets of high-growth companies
Machine Learning Is No Longer Just for Experts,Modelando APIs REST com Swagger,Chatbots: Are they better without the chat?,Duolingo's chatbots help you learn a new language,How to build cross-platform mobile apps using nothing more than a JSON markup,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...
"Building A Modern, Scalable Backend: Modernizing Monolithic Applications","Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems","Kotlin in Production - What works, Whats broken",Building Spring Cloud Microservices That Strangle Legacy Systems,Angular 2 versus React: There Will Be Blood - Free Code Camp,Microservices - When to React Vs. Orchestrate - Capital One DevExchange
8 Insanely Simple Productivity Hacks,"5 awesome Google Keep features you aren't using, but should be",Google researchers teach AIs to see the important parts of images - and tell you about them,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Google Cloud Goes to the Farm,Google is quietly recording everything you say. Here's how to hear it
Can Accenture Take Over Advertising?,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Especial: O papel dos grandes provedores de TI na Rio 2016,Governo brasileiro cria manual para contratação de cloud,Latin America's chronic inefficiency could drive more O2O commerce growth
Google employees are adding 'Lady' to their job titles to fight sexism,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks","Meet Bozoma Saint John, the Apple executive who stole the show at WWDC","If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Netflix emociona com vídeo destacando personagens LGBT,This Super Accurate Portrait Selection Tech Uses Neural Networks
Salesforce Architect Journey,Labelling automated builds on Docker Hub - Microscaling Systems,Serverless Architectures,Top Programming Languages Trends: The Rise of Big Data,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Blaise Agüera y Arcas: How computers are learning to be creative
Acquia Engage Awards Finalists Announced,Who sponsors Drupal development? | Dries Buytaert,14 Cool Drupal 8 modules for site builders | August 2016,Why Is Learning Drupal Hard?,Dries Distributions remain a growing opportunity for Drupal - Buytaert,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Building Spring Cloud Microservices That Strangle Legacy Systems,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",Sobre o Hipsters Ponto Tech,Kotlin no Backend (Parte 2) :: Concrete Solutions
How to Get a Job at Google,Staying one step ahead at Pixar: An interview with Ed Catmull,Shopping app Spring's redesign could be a game-changer,Ordering coffee in Italy: the 10 commandments,The barbell effect of machine learning.,Artificial intelligence is changing SEO faster than you think
Sam Newman - Backends For Frontends,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Ordering coffee in Italy: the 10 commandments,Lists are the new search,4 Reasons Managers Should Spend More Time on Coaching,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet"
Spring Boot 1.5.1 released,Introducing Kotlin support in Spring Framework 5.0,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Arquitetura de Microserviços habilitando APIs - Sensedia,Communication patterns in a Microservice world,"Kotlin in Production - What works, Whats broken"
Bradesco lança serviço inédito para estimular o hábito de poupar,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Measuring email effectiveness in retail banking,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Starbucks tem mais dinheiro do cliente em cartões do que bancos
The Ultimate Solution to Versioning REST APIs: Content Negotiation,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Communication patterns in a Microservice world,Seniority,Introducing Kotlin support in Spring Framework 5.0,Arquitetura de Microserviços habilitando APIs - Sensedia
Mulheres são mais criativas que homens?,A importância dos filmes de mulherzinha - Capitolina,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Empresa britânica adota licença remunerada no período menstrual,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Branding é problema seu. E meu.
7 Questions to Ask Before Your Next Digital Transformation,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,Two Different Sales Motions . . . .,The sales secrets of high-growth companies,Top 10 Intranet Trends of 2016,Innovation is in all the wrong places
ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,Agile: Falta competência nos testes,Como Usar o Git e o GitHub,Dicas avançadas de ruby (capybara/cucumber),Sua comunidade de Teste.,BDD Best Practices and Guidelines - Testing Excellence
"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Designing smart notifications,Big IT Rising,Skill swarms - a new way to share expertise and work smarter together - Skillhive
Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,CMN regulamenta abertura de conta de depósito por meio eletrônico,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,The Drive to Bank on Digital,Starbucks tem mais dinheiro do cliente em cartões do que bancos
Ouça a música criada pela inteligência artificial do Google | Google Discovery,Google is quietly recording everything you say. Here's how to hear it,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Google Cloud Goes to the Farm,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Inbox by Gmail ganha formatação de texto | Google Discovery
Microsoft's Open Source Love Affair Reaches New Heights,Alecrim/AlecrimCoreData,The next wave in software is open adoption software,Our password hashing has no clothes,JetBrains DataGrip: Your Swiss Army Knife for Databases and SQL,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
Bot Design Patterns,The next wave in software is open adoption software,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,How bot-to-bot could soon replace APIs,The return of the machinery question
Elastic Stack 5.0.0 Released,Combining Spring Boot and JDBI,The technology behind preview photos,Things you probably didn't know you could do with Chrome's Developer Console,Micro Profile JavaEE com Wildfly Swarm,Standing on the Shoulders of Giants - Built to Adapt
gotwarlost/istanbul,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Building Spring Cloud Microservices That Strangle Legacy Systems,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Combining Spring Boot and JDBI,Building Flipkart Lite: A Progressive Web App
The hardest thing in computer science,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",The Importance of Code Reviews,Berners-Lee quer criar outra Web,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",New MacBook Pro is not a Laptop for Developers Anymore
Google is quietly recording everything you say. Here's how to hear it,Ouça a música criada pela inteligência artificial do Google | Google Discovery,"contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object",Google's Cloud Machine Learning service is now in public beta,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,"Hello, a nova rede social do Orkut, está liberada no Brasil"
[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,Design Sprint: onde o design e a velocidade importam,Text summarization with TensorFlow
Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Por que o Walmart não é Walmart no Brasil
"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Google lags behind Amazon and Microsoft's cloud in one important area,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,Firebase and Google Cloud: better together,Spark comparison: AWS vs. GCP
PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,Mobile Time,Accenture amplia atuação no Brasil,55 fornecedores de TI que apresentarão novidades no Ciab 2016,Meet the new Brazilian consumer
The need to lead in data and analytics,Accenture amplia atuação no Brasil,Meio&Mensagem,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Mobile Time,PwC faz virada digital e já fatura US$ 1 bilhão no mundo
O chefe é gay. E daí?,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,The Genderbread Person v3 | It's Pronounced Metrosexual,O dia em que tive mais medo de estar errada.,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Para entender o Dia Internacional contra a Homofobia
Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,Como resolver conflitos no ambiente corporativo us,Digital Health Coaching,O que você deve fazer para se tornar um líder melhor?
Serverless Data Sync in Web Apps with Bit Torrent,Anti-If: The missing patterns,"Autofill: What web devs should know, but don't",Cubr,Goodbye accountants! Startup builds AI to automate all your accounting,Top Programming Languages Trends: The Rise of Big Data
Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,How to Design a Walkthrough That Users Will Read,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,"The Languages, Frameworks and Tools You Should Learn in 2017",My experience with Google's Associate Android Developer Certification,Angular 2 versus React: There Will Be Blood - Free Code Camp
Staying one step ahead at Pixar: An interview with Ed Catmull,Ordering coffee in Italy: the 10 commandments,Shopping app Spring's redesign could be a game-changer,Up your app's sharing game with DirectShare - Google Developers,Artificial intelligence is changing SEO faster than you think,The barbell effect of machine learning.
MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The surprising truth about which countries lead in digital,The rise of APIs,The future of the shopping mall
Text summarization with TensorFlow,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,5 reasons your employees aren't sharing their knowledge,Google acquires deep search engine Kifi to enhance its Spaces group chat app,"Secret's founder returns with Bold, a Medium for enterprise",Machine Learning and the VP Debate
14 Cool Drupal 8 modules for site builders | August 2016,Who sponsors Drupal development? | Dries Buytaert,Dries Distributions remain a growing opportunity for Drupal - Buytaert,What to look for in a code review ,Acquia Engage Awards Finalists Announced,Meet Aquifer: A build system for easier Drupal development
"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"No dia das mães, Avon lança campanha com mãe de jovem gay",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss"
Tech in Brazil is booming despite the country's political troubles,Staying one step ahead at Pixar: An interview with Ed Catmull,Being A Developer After 40 - Free Code Camp,Shopping app Spring's redesign could be a game-changer,The barbell effect of machine learning.,Ordering coffee in Italy: the 10 commandments
"Little girls doubt that women can be brilliant, study shows",#iLookLikeAnEngineer: One Year Later,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,#Sentaquelávemtextão,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",9 Non-Threatening Leadership Strategies for Women
Two Different Sales Motions . . . .,Nintendo has doubled in value since Pokémon Go's release,"Telecoms open shop on Madison Avenue, but will brands buy?",Is FinTech Forcing Banking to a Tipping Point?,7 Questions to Ask Before Your Next Digital Transformation,The sales secrets of high-growth companies
Notes on Reactive Programming Part I: The Reactive Landscape,CSS Containment in Chrome 52 | Web Updates - Google Developers,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Facebook's WhatsApp does something very different than Google,Design Patterns: Progressive Disclosure for Mobile Apps
"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Powering a more connected and collaborative enterprise,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Acesse a versão Material Design do YouTube | Google Discovery,Google's Cloud Machine Learning service is now in public beta,Mobile banking conquista o coração dos brasileiros
Bradesco vai lançar novo banco digital: o Next.,"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",The rise of APIs,The Future of Digital Banking is Now,The surprising truth about which countries lead in digital,PwC faz virada digital e já fatura US$ 1 bilhão no mundo
"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",Aplicação de visão computacional com OpenCV,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Nova pulseira tecnológica avisa se você já bebeu demais
"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Accidental discovery could help batteries last years longer,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,The hardest thing in computer science,The Best Linux Distros of 2016
Especial: O papel dos grandes provedores de TI na Rio 2016,Organizing for digital acceleration: Making a two-speed IT operating model work,Can Accenture Take Over Advertising?,O tênue equilíbrio da equipe que desenha produtos digitais,Latin America's chronic inefficiency could drive more O2O commerce growth,Governo brasileiro cria manual para contratação de cloud
Creating Compound Views on Android,The real reasons you procrastinate - and how to stop,Why Google App Engine rocks: A Google engineer's take,"Fresco, sim! - Android Dev BR",How Do Top Android Developers QA Test Their Apps?,StrictMode for Runtime Analysis on Android - Google Developers
Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",11 Internet of Things (IoT) Protocols You Need to Know About,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Here's proof that Google is getting serious about battling Facebook in a key area,Aplicação de visão computacional com OpenCV
#iLookLikeAnEngineer: One Year Later,Criadas para casar,Promoting gender equality through emoji �� ��,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",A importância dos filmes de mulherzinha - Capitolina,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia"
Criando ícones animados no Android,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Using DiffUtil in Android RecyclerView,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Exploring Java's Hidden Costs
Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Olli: Artificial Intelligence for the real world of connected commuting,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems","Don't Start Big, Start a Little Snowball","""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",Cubr
Why Deep Learning Is Suddenly Changing Your Life,AI Is Here to Help You Write Emails People Will Actually Read,The return of the machinery question,"Telecoms open shop on Madison Avenue, but will brands buy?","DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Google, Amazon and the upcoming battle over AI Assistants"
"Microsoft anuncia Visual Studio para Mac, disponível ainda nesta semana | MacMagazine.com.br",Introducing JIRA Software for iPhone,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Announcing .NET Core 1.0,New MacBook Pro is not a Laptop for Developers Anymore,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs
Par de alianças impede que seu parceiro assista Netflix sem você,11 Internet of Things (IoT) Protocols You Need to Know About,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Bose's New Speaker Only Costs $150 But You Have to Build It Yourself,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,Accidental discovery could help batteries last years longer,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",The End Of Apps As We Know Them - Inside Intercom,A digital crack in banking's business model,The rise of APIs
Desenvolvimento de Aplicativos Mobile com Xamarin -,15 Awesome Sublime Text Plugins For Web Development,Live asynchronously.,Aplicação de visão computacional com OpenCV,Creating Compound Views on Android,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online"
Branding é problema seu. E meu.,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Evernote anuncia integração com Google Drive | Google Discovery,"curso de branding, diferenciação e estratégia de marca",Mulheres são mais criativas que homens?
WeChat's competitor to Slack has arrived,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",WeChat's world,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic","Deep Learning for Chatbots, Part 1 - Introduction",Drupal and ambitious digital experiences
Firebase and Google Cloud: better together,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks","BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Progressive Web App - first introduced on Google I/O | airberlin,Google lags behind Amazon and Microsoft's cloud in one important area,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,Bradesco lança serviço inédito para estimular o hábito de poupar,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Measuring email effectiveness in retail banking,Grupo de bancos adere à tecnologia do bitcoin em transações,Nubank e Goldman fecham parceria de R$ 200 milhões
JavaServer Faces 2.3 Quick Reference - DZone Java,SOA com microserviços - Sensedia,How Do Top Android Developers QA Test Their Apps?,Torus,Graph Capabilities with the Elastic Stack,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match
Graduação já não garante uma carreira de sucesso em TI - CIO,Lists are the new search,Ordering coffee in Italy: the 10 commandments,Up your app's sharing game with DirectShare - Google Developers,This Super Accurate Portrait Selection Tech Uses Neural Networks,Shopping app Spring's redesign could be a game-changer
Accenture amplia atuação no Brasil,Meet the new Brazilian consumer,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,Mobile Time,Is FinTech Forcing Banking to a Tipping Point?
Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,The Java 8 API Design Principles,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Building Spring Cloud Microservices That Strangle Legacy Systems,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,On Orchestrated Microservices - Built to Adapt
Front in BH 2016,Lentes de contato inteligentes serão o wearable definitivo,Peças Translúcidas,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!","Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",How to finish 3D printed PLA objects
